shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4..N06R,40.715772,-74.002905,157,
4..N06R,40.715800,-74.002883,158,
4..N06R,40.715827,-74.002859,159,
4..N06R,40.718803,-74.000193,160,
4..N06R,40.720055,-73.999049,161,
4..N06R,40.722125,-73.997276,162,
4..N06R,40.722138,-73.997264,163,
4..N06R,40.722151,-73.997253,164,
4..N06R,40.722163,-73.997241,165,
4..N06R,40.722176,-73.997231,166,
4..N06R,40.722188,-73.997220,167,
4..N06R,40.722201,-73.997210,168,
4..N06R,40.722213,-73.997201,169,
4..N06R,40.722225,-73.997191,170,
4..N06R,40.722237,-73.997183,171,
4..N06R,40.722249,-73.997174,172,
4..N06R,40.722261,-73.997166,173,
4..N06R,40.722273,-73.997158,174,
4..N06R,40.722285,-73.997151,175,
4..N06R,40.722301,-73.997141,176,
4..N06R,40.722322,-73.997128,177,
4..N06R,40.722336,-73.997120,178,
4..N06R,40.722350,-73.997112,179,
4..N06R,40.722364,-73.997104,180,
4..N06R,40.722379,-73.997096,181,
4..N06R,40.722393,-73.997088,182,
4..N06R,40.722407,-73.997081,183,
4..N06R,40.722421,-73.997073,184,
4..N06R,40.722435,-73.997066,185,
4..N06R,40.722450,-73.997060,186,
4..N06R,40.722464,-73.997053,187,
4..N06R,40.722478,-73.997047,188,
4..N06R,40.722492,-73.997041,189,
4..N06R,40.722507,-73.997035,190,
4..N06R,40.722521,-73.997029,191,
4..N06R,40.723289,-73.996736,192,
4..N06R,40.723314,-73.996726,193,
4..N06R,40.723340,-73.996714,194,
4..N06R,40.723365,-73.996702,195,
4..N06R,40.723390,-73.996690,196,
4..N06R,40.723415,-73.996676,197,
4..N06R,40.723439,-73.996662,198,
4..N06R,40.723464,-73.996647,199,
4..N06R,40.723488,-73.996631,200,
4..N06R,40.723512,-73.996614,201,
4..N06R,40.723536,-73.996597,202,
4..N06R,40.723560,-73.996579,203,
4..N06R,40.723584,-73.996560,204,
4..N06R,40.723607,-73.996540,205,
4..N06R,40.723631,-73.996519,206,
4..N06R,40.723654,-73.996498,207,
4..N06R,40.725915,-73.994659,208,
